buildupArea_sqft,bathrooms,bhk,flat_price,location1,age_of_property,furnishing,bedrooms,balcony,parking
1250,2,2 BHK Flat,2.54,Powai,new construction,Semi Furnished,2,1,yes
1800,2,3 BHK Flat,3.65,Powai,recent construction,Semi Furnished,3,1,yes
545,1,1 BHK Flat,0.55,Goregaon East,recent construction,Fully Furnished,1,0,yes
1330,2,3 BHK Flat,4.6,Sion,recent construction,Unfurnished,3,1,yes
1800,3,4 BHK Flat,12,Lower Parel,new construction,Semi Furnished,4,0,yes
1150,2,2 BHK Flat,1.8,Kandivali East,recent construction,Unfurnished,2,0,yes
695,2,1 BHK Flat,0.6,Mira Road East,new construction,Semi Furnished,1,2,yes
1400,3,3 BHK Flat,3.1,Andheri West,modern property,Semi Furnished,3,0,yes
986,2,2 BHK Flat,0.51,Nalasopara East,recent construction,Semi Furnished,2,3,yes
520,2,1 BHK Flat,1.15,Andheri East,modern property,Semi Furnished,1,0,yes
1000,2,2 BHK Flat,1.95,Andheri East,mid age property,Semi Furnished,2,0,yes
1395,2,2 BHK Flat,3.1,Wadala East,recent construction,Semi Furnished,2,1,yes
1296,3,3 BHK Flat,2.7,Mulund West,recent construction,Semi Furnished,3,0,yes
600,2,1 BHK Flat,1.25,Borivali West,recent construction,Semi Furnished,1,3,yes
600,2,1 BHK Flat,1.3,Malad West,recent construction,Semi Furnished,1,1,no
650,2,1 BHK Flat,0.61,Thane West,recent construction,Semi Furnished,1,0,yes
650,1,1 BHK Flat,1.3,Chembur,recent construction,Unfurnished,1,0,yes
1600,3,3 BHK Flat,3.75,Andheri West,recent construction,Fully Furnished,3,2,yes
3120,4,4 BHK Flat,11,Powai,recent construction,Unfurnished,4,2,yes
619,3,1 BHK Flat,0.3,Naigaon East,recent construction,Unfurnished,1,0,yes
905,2,1 BHK Flat,0.62,Thane West,recent construction,Semi Furnished,1,1,yes
2650,4,4 BHK Flat,7.5,Wadala East,recent construction,Semi Furnished,4,4,yes
1385,3,3 BHK Flat,3.1,Borivali East,recent construction,Fully Furnished,3,1,yes
1450,1,3 BHK Flat,5.5,Khar West,modern property,Semi Furnished,3,0,yes
465,2,1 BHK Flat,1.15,Bandra East,modern property,Semi Furnished,1,1,yes
941,2,2 BHK Flat,2.5,Govandi,new construction,Semi Furnished,2,0,yes
650,2,1 BHK Flat,0.85,Dahisar East,mid age property,Semi Furnished,1,0,yes
1100,2,3 BHK Flat,2.65,Mulund West,recent construction,Semi Furnished,3,0,yes
980,2,2 BHK Flat,1.7,Kandivali West,recent construction,Semi Furnished,2,0,yes
2100,3,3 BHK Flat,5.5,Matunga East,new construction,Semi Furnished,3,3,yes
1100,2,2 BHK Flat,2.3,Powai,recent construction,Semi Furnished,2,1,yes
1200,2,2 BHK Flat,3.6,Andheri West,modern property,Semi Furnished,2,0,yes
1200,3,3 BHK Flat,4.3,Borivali East,new construction,Unfurnished,3,0,yes
1540,3,3 BHK Flat,5.24,Andheri West,mid age property,Fully Furnished,3,0,yes
840,2,2 BHK Flat,1.75,Goregaon East,new construction,Unfurnished,2,0,yes
740,2,1 BHK Flat,1.22,Kandivali East,new construction,Semi Furnished,1,0,yes
430,2,1 BHK Flat,1.15,Borivali East,recent construction,Semi Furnished,1,0,yes
1440,3,3 BHK Flat,2,Goregaon West,recent construction,Semi Furnished,2,0,yes
825,2,2 BHK Flat,1.7,Mulund West,recent construction,Fully Furnished,2,0,yes
1000,2,2 BHK Flat,2,Kandivali West,recent construction,Semi Furnished,2,0,yes
600,2,1 BHK Flat,0.33,Nalasopara West,recent construction,Unfurnished,1,1,yes
846,2,2 BHK Flat,0.4,Nalasopara West,new construction,Semi Furnished,2,3,yes
575,2,1 BHK Flat,1.5,Andheri West,recent construction,Unfurnished,1,0,yes
950,2,2 BHK Flat,1.7,Mulund East,new construction,Fully Furnished,2,0,yes
972,2,2 BHK Flat,0.8,Goregaon East,recent construction,Fully Furnished,2,0,yes
2495,4,5 BHK Flat,7.5,Andheri West,modern property,Semi Furnished,5,4,yes
950,2,2 BHK Flat,2.61,Santacruz East,recent construction,Semi Furnished,2,0,yes
450,2,1 BHK Flat,0.9,Mulund East,mid age property,Semi Furnished,1,0,yes
1000,3,3 BHK Flat,1.99,Kandivali West,modern property,Semi Furnished,3,0,yes
650,2,1 BHK Flat,1.25,Govandi,new construction,Unfurnished,1,0,yes
800,2,2 BHK Flat,1.5,Borivali West,new construction,Unfurnished,2,0,yes
435,2,1 BHK Flat,0.99,Ghatkopar West,new construction,Unfurnished,1,0,yes
800,2,1 BHK Flat,1.25,Goregaon West,new construction,Unfurnished,1,1,no
510,1,1 BHK Flat,0.96,Bhandup West,recent construction,Unfurnished,1,0,yes
600,2,1 BHK Flat,1.35,Mazgaon,recent construction,Unfurnished,1,2,no
740,2,1 BHK Flat,0.66,Mira Road East,new construction,Semi Furnished,1,2,yes
799,2,2 BHK Flat,1.75,Borivali West,modern property,Semi Furnished,2,0,yes
1200,2,3 BHK Flat,3,Ghatkopar West,recent construction,Semi Furnished,3,0,yes
1200,2,3 BHK Flat,2.36,Chembur,recent construction,Semi Furnished,3,0,yes
1150,3,3 BHK Flat,2.3,Dahisar West,modern property,Unfurnished,3,1,yes
1000,2,3 BHK Flat,2.8,Bhandup West,recent construction,Fully Furnished,3,2,yes
1250,3,3 BHK Flat,3,Goregaon West,recent construction,Fully Furnished,3,0,yes
2550,1,3 BHK Flat,9.5,Lower Parel,recent construction,Semi Furnished,2,0,yes
1375,3,3 BHK Flat,4.49,Andheri West,mid age property,Fully Furnished,3,0,yes
900,1,3 BHK Flat,3.75,Borivali West,modern property,Semi Furnished,3,0,yes
1200,2,2 BHK Flat,4.01,Lower Parel,recent construction,Semi Furnished,2,2,yes
800,2,2 BHK Flat,1.88,Powai,new construction,Semi Furnished,2,0,yes
1250,2,2 BHK Flat,3.35,Powai,new construction,Semi Furnished,2,1,yes
540,1,1 BHK Flat,0.08,Palghar,recent construction,Fully Furnished,1,0,yes
775,2,2 BHK Flat,1.65,Goregaon West,mid age property,Semi Furnished,2,0,yes
580,1,1 BHK Flat,1.35,Wadala East,modern property,Semi Furnished,1,0,yes
1212,2,2 BHK Flat,1.85,Andheri West,recent construction,Unfurnished,2,0,yes
1600,2,3 BHK Flat,3.6,Andheri West,recent construction,Semi Furnished,3,0,yes
1050,3,3 BHK Flat,3.5,Mulund East,new construction,Unfurnished,3,2,yes
713,2,2 BHK Flat,1.75,Ghatkopar East,recent construction,Semi Furnished,2,0,yes
1900,4,3 BHK Flat,8.99,Cumballa Hill,mid age property,Fully Furnished,3,0,yes
850,2,2 BHK Flat,1.35,Malad West,recent construction,Unfurnished,2,0,no
875,2,2 BHK Flat,1.6,Bhandup West,recent construction,Semi Furnished,2,1,yes
1900,4,4 BHK Flat,6.8,Borivali East,new construction,Unfurnished,4,0,yes
953,1,2 BHK Flat,1.25,Thane West,recent construction,Semi Furnished,2,0,yes
2800,6,5 BHK Flat,4.75,Kandivali East,recent construction,Fully Furnished,5,0,yes
999,2,2 BHK Flat,2.1,Kanjurmarg East,new construction,Semi Furnished,2,0,yes
1100,2,2 BHK Flat,1.55,Kandivali East,recent construction,Unfurnished,2,0,yes
695,2,1 BHK Flat,0.7,Bhayandar East,recent construction,Semi Furnished,1,3,yes
866,1,2 BHK Flat,2.6,Goregaon West,recent construction,Unfurnished,2,0,yes
560,1,1 BHK Flat,0.6,Mira Road East,modern property,Unfurnished,1,2,yes
585,2,1 BHK Flat,1.35,Wadala East,modern property,Fully Furnished,1,0,yes
960,2,2 BHK Flat,3.5,Parel,new construction,Semi Furnished,2,0,yes
660,2,1 BHK Flat,0.82,Vikhroli East,new construction,Semi Furnished,1,2,yes
520,1,1 BHK Flat,1,Mulund East,recent construction,Unfurnished,1,0,yes
1150,2,2 BHK Flat,3.1,Wadala East,recent construction,Semi Furnished,2,1,yes
1100,2,2 BHK Flat,3,Andheri West,modern property,Fully Furnished,2,0,yes
450,1,1 BHK Flat,2.25,Dadar West,new construction,Semi Furnished,1,0,yes
1046,3,3 BHK Flat,3.05,Borivali West,recent construction,Unfurnished,3,0,yes
850,2,2 BHK Flat,2,Chembur,recent construction,Unfurnished,2,1,yes
1400,2,2 BHK Flat,4.3,Santacruz West,mid age property,Semi Furnished,2,0,yes
1200,3,3 BHK Flat,3.5,Kandivali West,modern property,Semi Furnished,3,0,yes
990,2,2 BHK Flat,1.25,Mira Road East,recent construction,Unfurnished,2,3,yes
730,2,1 BHK Flat,0.63,Mira Road East,new construction,Semi Furnished,1,2,yes
726,2,2 BHK Flat,2.1,Chembur,new construction,Semi Furnished,2,0,yes
3000,5,4 BHK Flat,10,Vikhroli East,recent construction,Semi Furnished,4,1,yes
1010,2,2 BHK Flat,1.19,Mira Road East,recent construction,Fully Furnished,2,1,yes
875,2,2 BHK Flat,1.4,Kandivali West,modern property,Semi Furnished,2,0,yes
1150,2,2 BHK Flat,2.1,Kanjurmarg East,new construction,Unfurnished,2,0,yes
1850,3,3 BHK Flat,2.85,Mulund West,recent construction,Semi Furnished,3,2,yes
1000,3,3 BHK Flat,2.1,Bhandup West,mid age property,Semi Furnished,3,0,yes
800,2,2 BHK Flat,1.25,Dahisar West,recent construction,Unfurnished,2,0,yes
525,1,1 BHK Flat,1.05,Kandivali East,mid age property,Semi Furnished,1,0,no
410,2,1 BHK Flat,0.52,Kandivali West,recent construction,Unfurnished,1,0,yes
500,2,1 BHK Flat,1.11,Borivali West,recent construction,Semi Furnished,1,0,yes
610,2,1 BHK Flat,0.96,Borivali East,recent construction,Unfurnished,1,0,yes
750,2,2 BHK Flat,1.5,Dahisar West,modern property,Unfurnished,2,2,no
1955,3,3 BHK Flat,5.3,Chembur,recent construction,Unfurnished,3,3,yes
445,2,1 BHK Flat,1.6,Chembur,recent construction,Semi Furnished,1,0,yes
1012,3,3 BHK Flat,1.74,Mira Road East,recent construction,Semi Furnished,3,1,yes
530,1,1 BHK Flat,0.99,Chembur,new construction,Semi Furnished,1,1,yes
750,1,1 BHK Flat,1.32,Chembur,recent construction,Semi Furnished,1,2,yes
780,2,2 BHK Flat,1.75,Dahisar West,recent construction,Unfurnished,2,0,yes
425,2,1 BHK Flat,0.58,Thane West,recent construction,Semi Furnished,1,1,yes
1260,2,2 BHK Flat,2,Kanjurmarg West,recent construction,Unfurnished,2,0,yes
1000,2,2 BHK Flat,1.06,Mira Road East,new construction,Semi Furnished,2,1,yes
960,2,2 BHK Flat,1.9,Borivali West,new construction,Unfurnished,2,0,yes
595,2,1 BHK Flat,0.65,Mira Road East,recent construction,Semi Furnished,1,2,yes
800,2,2 BHK Flat,1.6,Jogeshwari West,recent construction,Semi Furnished,2,1,yes
950,2,2 BHK Flat,2.9,Santacruz East,new construction,Semi Furnished,2,0,yes
910,2,2 BHK Flat,2.3,Chembur,recent construction,Semi Furnished,2,0,yes
1650,3,3 BHK Flat,4.75,Andheri West,recent construction,Fully Furnished,3,0,yes
800,2,2 BHK Flat,1.92,Powai,recent construction,Unfurnished,2,2,yes
1016,2,2 BHK Flat,1.75,Kanjurmarg East,recent construction,Fully Furnished,2,0,yes
500,1,1 BHK Flat,0.24,Naigaon East,recent construction,Unfurnished,1,3,yes
1300,2,2 BHK Flat,2.55,Powai,new construction,Semi Furnished,2,1,yes
935,1,2 BHK Flat,0.47,Virar West,recent construction,Unfurnished,2,4,yes
790,2,2 BHK Flat,1.75,Kanjurmarg East,new construction,Semi Furnished,2,0,yes
955,2,2 BHK Flat,1.9,Wadala East,modern property,Semi Furnished,2,0,yes
645,2,2 BHK Flat,1.1,Kandivali East,recent construction,Unfurnished,2,0,yes
1830,3,3 BHK Flat,3.25,Kandivali East,new construction,Unfurnished,3,3,yes
3000,5,4 BHK Flat,9,Sion,new construction,Semi Furnished,4,5,yes
2200,4,4 BHK Flat,13.95,Powai,new construction,Unfurnished,4,1,yes
2400,3,3 BHK Flat,7.2,Lower Parel,recent construction,Semi Furnished,3,4,yes
1200,1,2 BHK Flat,2.2,Powai,recent construction,Unfurnished,1,0,yes
1306,3,3 BHK Flat,3.3,Goregaon West,new construction,Semi Furnished,3,3,yes
1400,2,3 BHK Flat,6,Bandra West,modern property,Semi Furnished,3,0,yes
950,2,2 BHK Flat,2.1,Borivali East,modern property,Semi Furnished,2,0,yes
1600,4,4 BHK Flat,6,Borivali East,new construction,Unfurnished,4,0,yes
575,2,1 BHK Flat,0.29,Nalasopara West,new construction,Semi Furnished,1,1,yes
720,2,2 BHK Flat,3.15,Vikhroli East,recent construction,Semi Furnished,2,1,yes
1000,2,2 BHK Flat,5.25,Colaba,modern property,Semi Furnished,2,0,yes
990,3,2 BHK Flat,2.65,Chembur,new construction,Unfurnished,2,0,yes
650,2,1 BHK Flat,1.38,Mazgaon,recent construction,Unfurnished,1,0,no
693,2,2 BHK Flat,1.8,Mulund West,new construction,Semi Furnished,2,1,yes
1060,2,2 BHK Flat,1.27,Mira Road East,recent construction,Unfurnished,2,4,yes
690,2,2 BHK Flat,0.95,Mira Road East,new construction,Unfurnished,2,3,no
550,2,1 BHK Flat,0.48,Mira Road East,recent construction,Unfurnished,1,0,yes
1200,3,3 BHK Flat,3,Kurla West,modern property,Semi Furnished,3,3,yes
2856,4,4 BHK Flat,11,Chembur,recent construction,Unfurnished,4,3,yes
700,2,2 BHK Flat,0.75,Mira Road East,recent construction,Unfurnished,2,0,yes
1400,3,3 BHK Flat,3.61,Santacruz East,recent construction,Semi Furnished,3,0,yes
750,2,1 BHK Flat,1,Kandivali East,new construction,Unfurnished,1,0,yes
600,1,1 BHK Flat,0.28,Nalasopara West,recent construction,Semi Furnished,1,2,yes
2250,4,4 BHK Flat,7.19,Andheri East,recent construction,Semi Furnished,4,0,yes
1073,2,2 BHK Flat,0.87,Mira Road East,recent construction,Unfurnished,2,3,yes
1502,2,3 BHK Flat,3.3,Powai,recent construction,Semi Furnished,3,1,yes
550,2,1 BHK Flat,0.95,Jogeshwari West,recent construction,Unfurnished,1,0,yes
498,1,1 BHK Flat,1.1,Borivali West,modern property,Unfurnished,1,0,no
1000,2,2 BHK Flat,1.68,Kandivali East,new construction,Unfurnished,2,0,yes
750,1,1 BHK Flat,0.27,Virar West,recent construction,Semi Furnished,1,1,yes
964,2,2 BHK Flat,1.8,Mulund West,modern property,Unfurnished,2,0,yes
750,2,1 BHK Flat,1.25,Jogeshwari West,new construction,Unfurnished,1,0,yes
950,2,2 BHK Flat,2.75,Powai,new construction,Unfurnished,2,0,yes
1100,3,3 BHK Flat,2.8,Andheri West,modern property,Fully Furnished,3,0,yes
1000,2,2 BHK Flat,2.15,Kandivali East,recent construction,Fully Furnished,2,3,yes
1250,3,2 BHK Flat,2.4,Kandivali East,recent construction,Semi Furnished,2,1,yes
950,2,2 BHK Flat,1.9,Goregaon East,recent construction,Semi Furnished,2,0,yes
560,1,1 BHK Flat,0.75,Mira Road East,modern property,Fully Furnished,1,0,yes
668,2,1 BHK Flat,0.21,Virar West,recent construction,Fully Furnished,1,1,yes
730,2,1 BHK Flat,0.59,Mira Road East,new construction,Semi Furnished,1,2,yes
1250,2,2 BHK Flat,3.25,Vikhroli East,recent construction,Semi Furnished,2,0,yes
580,2,1 BHK Flat,0.28,Virar West,modern property,Unfurnished,1,1,yes
750,1,2 BHK Flat,1.55,Vikhroli West,new construction,Semi Furnished,2,0,yes
2106,3,4 BHK Flat,9.75,Wadala,new construction,Semi Furnished,4,0,yes
1100,3,3 BHK Flat,2.75,Malad West,recent construction,Unfurnished,3,0,yes
980,2,2 BHK Flat,2,Mulund West,modern property,Semi Furnished,2,0,no
851,2,2 BHK Flat,1.7,Dahisar West,modern property,Semi Furnished,2,0,yes
740,2,2 BHK Flat,1.23,Mira Road East,recent construction,Semi Furnished,2,0,yes
1143,2,2 BHK Flat,2.48,Malad East,recent construction,Semi Furnished,2,3,yes
1027,3,3 BHK Flat,4.1,Bandra East,recent construction,Semi Furnished,3,2,yes
800,2,2 BHK Flat,1.7,Borivali West,recent construction,Semi Furnished,2,2,yes
700,1,1 BHK Flat,0.42,Virar West,modern property,Semi Furnished,1,2,yes
650,1,1 BHK Flat,0.86,Dahisar East,recent construction,Semi Furnished,1,0,yes
1690,2,3 BHK Flat,6.75,Powai,modern property,Fully Furnished,3,0,yes
850,2,2 BHK Flat,3.85,Parel,recent construction,Semi Furnished,2,0,yes
900,1,2 BHK Flat,0.37,Nalasopara West,recent construction,Semi Furnished,2,3,yes
550,2,1 BHK Flat,0.57,Bhayandar East,modern property,Semi Furnished,1,0,yes
1000,3,3 BHK Flat,2.4,Chembur,recent construction,Fully Furnished,3,0,yes
1505,3,3 BHK Flat,3.52,Chembur,modern property,Unfurnished,3,0,yes
540,1,1 BHK Flat,1.6,Powai,recent construction,Semi Furnished,1,0,yes
1800,3,3 BHK Flat,6,Prabhadevi,recent construction,Semi Furnished,3,1,yes
1600,3,3 BHK Flat,3.8,Chembur,new construction,Semi Furnished,3,0,yes
1750,3,3 BHK Flat,6.55,Powai,modern property,Semi Furnished,3,1,yes
1500,3,3 BHK Flat,3.5,Goregaon West,new construction,Unfurnished,3,0,yes
950,2,2 BHK Flat,1.5,Dahisar West,modern property,Semi Furnished,2,1,yes
630,1,2 BHK Flat,1.4,Chembur,recent construction,Fully Furnished,2,0,yes
1400,3,3 BHK Flat,3.15,Mulund West,new construction,Semi Furnished,3,1,yes
1250,3,3 BHK Flat,2.72,Dahisar West,recent construction,Semi Furnished,3,3,yes
2700,4,3 BHK Flat,13.5,Lower Parel,recent construction,Semi Furnished,3,1,yes
890,2,2 BHK Flat,2.38,Borivali East,new construction,Unfurnished,2,2,yes
1820,3,3 BHK Flat,4.65,Goregaon East,recent construction,Semi Furnished,3,1,yes
526,2,1 BHK Flat,1.24,Andheri East,new construction,Unfurnished,1,0,yes
1465,2,3 BHK Flat,2.95,Powai,modern property,Unfurnished,3,1,yes
1250,2,2 BHK Flat,4.15,Prabhadevi,new construction,Unfurnished,2,0,yes
860,2,2 BHK Flat,1.9,Andheri East,recent construction,Unfurnished,2,2,yes
1800,3,3 BHK Flat,5.7,Bandra West,modern property,Semi Furnished,3,3,yes
400,1,1 BHK Flat,0.88,Chembur,recent construction,Unfurnished,1,0,no
865,3,2 BHK Flat,0.49,Nalasopara West,recent construction,Semi Furnished,1,0,yes
1650,4,4 BHK Flat,5.8,Vile Parle East,new construction,Unfurnished,4,0,yes
1440,3,3 BHK Flat,2.7,Andheri East,recent construction,Fully Furnished,3,0,yes
1590,3,3 BHK Flat,5.2,Vile Parle East,modern property,Fully Furnished,3,0,yes
635,1,1 BHK Flat,0.29,Virar West,recent construction,Semi Furnished,1,2,yes
550,1,1 BHK Flat,0.94,Kanjurmarg East,recent construction,Semi Furnished,1,0,yes
775,2,2 BHK Flat,2.25,Goregaon East,new construction,Unfurnished,2,0,yes
900,2,2 BHK Flat,0.94,Mira Road East,recent construction,Unfurnished,2,1,yes
650,2,1 BHK Flat,0.66,Mira Road East,modern property,Unfurnished,1,3,yes
555,1,1 BHK Flat,1.67,Sion,recent construction,Semi Furnished,1,2,yes
1250,3,3 BHK Flat,1.25,Thane West,new construction,Unfurnished,3,1,yes
1120,3,2 BHK Flat,2.1,Kandivali East,recent construction,Unfurnished,2,0,yes
610,1,1 BHK Flat,0.33,Naigaon East,new construction,Unfurnished,1,3,yes
1000,2,2 BHK Flat,2.4,Malad West,recent construction,Semi Furnished,2,3,yes
1700,2,3 BHK Flat,3.95,Powai,new construction,Unfurnished,3,1,yes
2000,4,3 BHK Flat,8.5,Bandra West,recent construction,Semi Furnished,3,0,yes
1600,3,3 BHK Flat,2.85,Goregaon West,recent construction,Unfurnished,3,0,yes
650,2,1 BHK Flat,0.85,Bhandup West,recent construction,Unfurnished,1,1,yes
1250,2,2 BHK Flat,2.1,Chembur,recent construction,Semi Furnished,2,1,yes
435,1,1 BHK Flat,0.52,Malad West,recent construction,Unfurnished,1,0,yes
935,2,2 BHK Flat,2.4,Andheri West,recent construction,Unfurnished,2,0,yes
1150,1,2 BHK Flat,2.8,Powai,new construction,Unfurnished,2,0,yes
1150,1,2 BHK Flat,2.4,Borivali West,recent construction,Unfurnished,2,0,yes
1150,2,2 BHK Flat,2.4,Malad West,recent construction,Semi Furnished,2,0,yes
1200,2,3 BHK Flat,5.75,Bandra West,modern property,Fully Furnished,3,0,yes
950,2,2 BHK Flat,0.9,Thane West,recent construction,Semi Furnished,2,1,yes
790,2,2 BHK Flat,1.6,Kandivali East,recent construction,Fully Furnished,2,0,yes
665,2,1 BHK Flat,0.55,Mira Road East,modern property,Semi Furnished,1,2,yes
1450,3,3 BHK Flat,2.95,Andheri West,recent construction,Unfurnished,3,0,yes
535,2,1 BHK Flat,0.95,Kandivali East,recent construction,Semi Furnished,1,0,no
1206,3,3 BHK Flat,5.6,Lower Parel,recent construction,Unfurnished,3,1,yes
1502,2,3 BHK Flat,3.28,Powai,recent construction,Semi Furnished,3,1,yes
600,1,1 BHK Flat,0.9,Bhayandar West,modern property,Semi Furnished,1,0,yes
805,2,2 BHK Flat,3.3,Andheri East,new construction,Unfurnished,2,0,yes
1490,2,3 BHK Flat,5.2,Powai,recent construction,Semi Furnished,3,0,yes
1000,2,2 BHK Flat,1.9,Bhandup West,recent construction,Unfurnished,2,0,yes
2107,3,4 BHK Flat,9.75,Wadala,recent construction,Semi Furnished,4,0,yes
1120,2,2 BHK Flat,2.05,Kandivali East,recent construction,Semi Furnished,2,2,yes
1550,2,3 BHK Flat,3.75,Powai,recent construction,Semi Furnished,3,1,yes
1200,3,3 BHK Flat,3.84,Goregaon West,new construction,Semi Furnished,3,1,yes
660,2,2 BHK Flat,1.25,Kandivali East,mid age property,Unfurnished,2,0,yes
1350,1,3 BHK Flat,4.75,Bandra West,modern property,Semi Furnished,3,0,yes
2400,4,4 BHK Flat,8.5,Bandra West,recent construction,Semi Furnished,4,0,yes
600,2,2 BHK Flat,0.42,Nalasopara West,modern property,Semi Furnished,2,3,yes
920,2,2 BHK Flat,1.9,Borivali West,modern property,Semi Furnished,2,0,yes
675,2,1 BHK Flat,0.3,Virar West,recent construction,Semi Furnished,1,0,yes
621,2,2 BHK Flat,1.35,Dahisar West,modern property,Semi Furnished,2,0,no
594,1,1 BHK Flat,1.65,Sion,recent construction,Semi Furnished,1,1,yes
680,2,1 BHK Flat,2.25,Dadar West,new construction,Unfurnished,1,0,yes
580,2,1 BHK Flat,1.6,Kandivali West,recent construction,Semi Furnished,1,1,yes
850,2,2 BHK Flat,1.6,Goregaon West,modern property,Semi Furnished,2,0,yes
800,1,2 BHK Flat,2.8,Mahim,modern property,Unfurnished,2,0,no
2530,4,4 BHK Flat,15,Santacruz West,recent construction,Semi Furnished,4,0,yes
1265,3,3 BHK Flat,3.65,Kandivali East,recent construction,Fully Furnished,3,0,yes
912,3,3 BHK Flat,2.45,Mulund West,recent construction,Semi Furnished,3,0,yes
990,2,2 BHK Flat,1.05,Mira Road East,recent construction,Unfurnished,2,3,yes
900,4,3 BHK Flat,3.05,Andheri West,new construction,Unfurnished,2,0,yes
1900,3,4 BHK Flat,4.1,Wadala East,modern property,Semi Furnished,4,0,yes
1275,3,2 BHK Flat,6.5,Tardeo,mid age property,Fully Furnished,2,0,yes
1080,2,2 BHK Flat,1.99,Chembur,recent construction,Semi Furnished,2,1,yes
710,2,2 BHK Flat,0.45,Virar West,recent construction,Semi Furnished,2,3,yes
555,2,1 BHK Flat,1.1,Kandivali East,modern property,Unfurnished,1,0,yes
3500,4,4 BHK Flat,14.9,Andheri West,modern property,Semi Furnished,4,0,yes
580,2,1 BHK Flat,0.58,Mira Road East,recent construction,Semi Furnished,1,1,yes
500,1,1 BHK Flat,0.25,Naigaon East,recent construction,Semi Furnished,1,3,yes
1400,2,2 BHK Flat,4.75,Prabhadevi,mid age property,Unfurnished,2,0,yes
400,1,1 BHK Flat,0.3,Virar West,recent construction,Unfurnished,1,2,no
1600,2,4 BHK Flat,5,Chembur,new construction,Semi Furnished,4,0,yes
970,3,3 BHK Flat,2.61,Borivali East,modern property,Semi Furnished,3,0,yes
820,2,2 BHK Flat,3.75,Khar West,recent construction,Semi Furnished,2,0,yes
650,2,1 BHK Flat,1.05,Malad West,recent construction,Unfurnished,1,0,yes
668,2,1 BHK Flat,0.27,Virar West,recent construction,Fully Furnished,1,1,yes
1300,3,3 BHK Flat,2.75,Mulund West,modern property,Semi Furnished,3,1,yes
1980,1,4 BHK Flat,5.7,Chembur,recent construction,Semi Furnished,3,0,yes
680,2,1 BHK Flat,0.46,Virar West,recent construction,Semi Furnished,1,1,yes
935,1,2 BHK Flat,0.41,Virar West,recent construction,Semi Furnished,2,3,yes
675,2,1 BHK Flat,0.64,Mira Road East,recent construction,Semi Furnished,1,2,yes
1550,3,3 BHK Flat,4.94,Powai,new construction,Semi Furnished,3,4,yes
450,1,1 BHK Flat,0.8,Dahisar East,modern property,Unfurnished,1,0,yes
1200,2,2 BHK Flat,2.45,Powai,recent construction,Semi Furnished,2,3,yes
1050,2,2 BHK Flat,3.5,Powai,modern property,Semi Furnished,2,1,yes
640,2,1 BHK Flat,0.69,Mira Road East,recent construction,Semi Furnished,1,2,yes
888,2,2 BHK Flat,1.5,Bhandup West,recent construction,Semi Furnished,2,0,yes
850,2,2 BHK Flat,1.8,Kandivali West,modern property,Semi Furnished,2,0,no
1877,4,4 BHK Flat,3.84,Mulund West,recent construction,Unfurnished,4,0,yes
820,2,2 BHK Flat,1.17,Kurla East,recent construction,Semi Furnished,2,0,yes
590,1,1 BHK Flat,1.05,Chembur,recent construction,Unfurnished,1,0,no
1050,2,2 BHK Flat,1.52,Chembur,recent construction,Semi Furnished,2,0,yes
1950,3,3 BHK Flat,3.75,Mulund West,modern property,Semi Furnished,3,1,yes
1300,3,3 BHK Flat,6.5,Colaba,modern property,Semi Furnished,3,0,yes
540,1,1 BHK Flat,0.36,Nalasopara East,recent construction,Unfurnished,1,2,yes
675,2,1 BHK Flat,0.28,Virar West,new construction,Semi Furnished,1,2,yes
950,2,2 BHK Flat,2.7,Goregaon West,new construction,Unfurnished,2,1,yes
955,2,2 BHK Flat,3.1,Sion,recent construction,Unfurnished,2,1,yes
1800,3,3 BHK Flat,12.8,Worli,recent construction,Semi Furnished,3,0,yes
950,2,2 BHK Flat,1.55,Borivali East,recent construction,Semi Furnished,2,1,yes
770,2,2 BHK Flat,1.9,Bhandup West,recent construction,Unfurnished,2,0,yes
2250,3,3 BHK Flat,7.75,Matunga East,recent construction,Fully Furnished,3,1,yes
1100,3,3 BHK Flat,1.75,Kandivali East,modern property,Unfurnished,3,0,yes
1740,2,3 BHK Flat,3.9,Powai,recent construction,Unfurnished,3,1,yes
490,1,1 BHK Flat,0.57,Kandivali East,modern property,Semi Furnished,1,0,yes
702,2,2 BHK Flat,1.25,Dahisar East,modern property,Unfurnished,2,1,no
870,2,2 BHK Flat,1.15,Mira Road East,modern property,Semi Furnished,2,2,yes
1800,4,4 BHK Flat,3.4,Malad East,new construction,Semi Furnished,4,2,yes
1050,2,2 BHK Flat,1.85,Bhandup West,recent construction,Fully Furnished,2,3,yes
688,2,1 BHK Flat,1.45,Chembur,recent construction,Unfurnished,1,0,yes
650,2,1 BHK Flat,2.45,Dadar East,new construction,Semi Furnished,1,0,yes
1001,2,2 BHK Flat,1.95,Kandivali East,modern property,Semi Furnished,2,3,yes
1550,3,3 BHK Flat,2.98,Chembur,recent construction,Semi Furnished,3,1,yes
665,2,1 BHK Flat,0.59,Mira Road East,new construction,Semi Furnished,1,2,yes
1650,3,3 BHK Flat,4.5,Andheri West,modern property,Fully Furnished,3,2,yes
420,2,1 BHK Flat,1.12,Goregaon West,modern property,Unfurnished,1,0,no
1750,3,3 BHK Flat,5.6,Parel,recent construction,Semi Furnished,3,1,yes
